ID	Symptom	Cause	Repair	time_to_resolve	n_watchers	n_comments	Priority	Project
DIRSTUDIO-1113	Unexpected behavior	Incompatible issues	Deep copying	26	2	3	Major	DIRSTUDIO
DIRSTUDIO-1142	Crash	Borderline cases	Switching to other techniques	936	2	1	Major	DIRSTUDIO
DIRSTUDIO-1143	Crash	Problems in settings	Modifying my settings	1299	3	8	Major	DIRSTUDIO
DIRSTUDIO-1173	Crash	Incorrect techniques	Switching to other techniques	15	2	6	Major	DIRSTUDIO
DRILL-4177	Crash	Problems in my libraries	Modifying the settings of libraries	4898	4	4	Major	DRILL
DRILL-6906	Security threat	Problems in settings	Modifying my settings	510	5	4	Major	DRILL
FINERACT-235	Unexpected behavior	Borderline cases	Modifying API calls	3175	4	6	Major	FINERACT
FLEX-34733	Build and testing error	Unavailable resources	Modifying build files or options	11212	1	2	Blocker	FLEX
FLEX-34754	Unexpected behavior	Problems in settings	Modifying my settings	10883	5	4	Blocker	FLEX
FLEX-35309	Unexpected behavior	Problems in my libraries	Switching to other libraries	326	3	3	Blocker	FLEX
FLEX-35363	Build and testing error	Problems in the network	Modifying build files or options	767	3	6	Major	FLEX
FLINK-10960	Crash	Borderline cases	Modifying documents	1036	4	7	Critical	FLINK
FLINK-11641	Hang	Problems in settings	Modifying my settings	18	3	3	Blocker	FLINK
FLINK-12462	Crash	Problems in languages	Switching to older versions	97	3	5	Major	FLINK
FLINK-5633	Build and testing error	Problems in settings	Modifying API calls	145	4	8	Minor	FLINK
FLINK-5898	Crash	Problems in my libraries	Switching to newer versions	2030	4	13	Major	FLINK
FLINK-7274	Crash	Incompatible issues	Modifying API calls	17	3	6	Major	FLINK
FOP-2726	Crash	Problems in my libraries	Modifying build files or options	121	2	4	Blocker	FOP
FREEMARKER-87	Unexpected behavior	Incompatible issues	Overridden APIs	261	3	21	Major	FREEMARKER
GEODE-2151	Build and testing error	Flawed repairs	Modifying operating systems	10268	1	2	Major	GEODE
GEODE-2412	Build and testing error	Flawed repairs	Unfixed problems	118	3	3	Major	GEODE
GEODE-5410	Crash	Incorrect techniques	Modifying the settings of libraries	481	3	1	Minor	GEODE
GEODE-6740	Crash	Problems in the network	Repairing as technical debts	223	8	7	Major	GEODE
GROOVY-8041	Unexpected behavior	Incompatible issues	Deep copying	118	1	6	Major	GROOVY
HADOOP-14177	Build and testing error	Problems in operating systems	Modifying build files or options	4079	2	3	Minor	HADOOP
HAWQ-1300	Build and testing error	Problems in my libraries	Switching to older versions	5190	3	2	Major	HAWQ
HDFS-13139	Unexpected behavior	Problems in settings	Modifying my settings	141	1	2	Major	HDFS
HDFS-9513	Crash	Problems in my clients	Implementing wrappers	21871	8	12	Blocker	HDFS
HIVE-18849	Crash	Problems in languages	Modifying build files or options	146	2	7	Blocker	HIVE
HIVE-21367	Unexpected behavior	Problems in settings	Modifying my settings	93	5	19	Blocker	HIVE
HIVEMALL-30	Build and testing error	Problems in my clients	Modifying my settings	14152	3	5	Major	HIVEMALL
IGNITE-5505	Unexpected behavior	Incompatible issues 	Modifying my settings	1200	5	6	Major	IGNITE
IMPALA-2511	Hang	Flaky problems	Fixed problems	4	3	2	Major	IMPALA
IMPALA-3248	Build and testing error	Problems in my libraries	Modifying build files or options	97	1	2	Major	IMPALA
IMPALA-3341	Build and testing error	Problems in languages	Deleting temporary files	543	6	8	Blocker	IMPALA
IMPALA-4843	Unexpected behavior	Borderline cases	Switching to newer versions	192	4	3	Major	IMPALA
IMPALA-6218	Crash	Problems in operating systems	Modifying operating systems	113	3	4	Major	IMPALA
INFRA-11589	Unexpected behavior	Unavailable resources	Modifying documents	37898	1	4	Major	INFRA
INFRA-12559	Build and testing error	Problems in the network	Fixed problems	286	1	3	Major	INFRA
INFRA-12589	Unexpected behavior	Problems in settings	Modifying my settings	273	1	1	Major	INFRA
INFRA-12664	Build and testing error	Incorrect techniques	Switching to other techniques	909	3	7	Major	INFRA
INFRA-13145	Unexpected behavior	Problems in my clients	Fixed problems	150	2	4	Major	INFRA
INFRA-13203	Unexpected behavior	Problems in my clients	Modifying documents	0	1	1	Minor	INFRA
INFRA-14922	Build and testing error	Problems in settings	Deep copying	13	2	6	Minor	INFRA
INFRA-14971	Build and testing error	Flawed repairs	Repairing as technical debts	3842	3	18	Major	INFRA
INFRA-15128	Build and testing error	Incompatible issues	Unfixed problems	59	3	5	Major	INFRA
INFRA-15687	Build and testing error	Incorrect techniques	Switching to other techniques	0	3	3	Blocker	INFRA
INFRA-15934	Build and testing error	Unavailable resources	Fixed problems	6	2	3	Major	INFRA
INFRA-15981	Build and testing error	Problems in my libraries	Deep copying	249	2	2	Trivial	INFRA
INFRA-16907	Build and testing error	Problems in my clients	Modifying my settings	60	1	4	Major	INFRA
INFRA-18150	Build and testing error	Unavailable resources	Modifying my settings	82	6	11	Major	INFRA
ISIS-1963	Crash	Problems in my libraries	Bypassing APIs with bugs	91	1	3	Blocker	ISIS
JCLOUDS-1169	Crash	Problems in my libraries	Switching to older versions	17	3	6	Blocker	JCLOUDS
JCLOUDS-1293	Crash	Problems in the network	Implementing wrappers + Repairing as technical debts	623	3	10	Major	JCLOUDS
JCLOUDS-1326	Crash	Problems in settings	Modifying my settings	19	3	3	Major	JCLOUDS
JCLOUDS-487	Unexpected behavior	Problems in my clients	Modifying API calls	25055	3	1	Minor	JCLOUDS
JENA-1207	Crash	Problems in my clients	Modifying API calls	6	3	7	Major	JENA
JEXL-259	Crash	Incompatible issues	Switching to other techniques	840	3	5	Major	JEXL
KAFKA-4149	Build and testing error	Problems in settings	Modifying build files or options	3265	3	4	Major	KAFKA
KAFKA-5861	Hang	Problems in my clients	Modifying API calls	92	1	7	Major	KAFKA
KUDU-1419	Crash	Problems in operating systems	Modifying operating systems	667	6	13	Critical	KUDU
KUDU-282	Crash	Problems in settings	Modifying my settings	9155	4	5	Critical	KUDU
KYLIN-1089	Crash	Problems in my libraries	Switching to newer versions	9304	3	3	Major	KYLIN
KYLIN-1842	Crash	Problems in my libraries	Modifying the settings of libraries	3031	4	10	Major	KYLIN
KYLIN-2020	Build and testing error	Problems in my libraries	Modifying the settings of libraries	1096	1	1	Major	KYLIN
KYLIN-2326	Crash	Problems in settings	Switching to newer versions	191	1	1	Major	KYLIN
